sim_num,category,winner,team_a_value,team_b_value
18,3P%,B,,
18,FG3M,B,,
18,PTS,B,,
18,REB,B,,
18,AST,B,,
18,STL,B,,
18,BLK,A,,
18,DD,B,,
18,TO,A,,
19,FG%,A,,
19,FT%,B,,
19,3P%,B,,
19,FG3M,B,,
19,PTS,B,,
19,REB,B,,
19,AST,B,,
19,STL,A,,
19,BLK,B,,
19,DD,TIE,,
19,TO,A,,
20,FG%,A,,
20,FT%,B,,
20,3P%,A,,
20,FG3M,B,,
20,PTS,B,,
20,REB,B,,
20,AST,B,,
20,STL,B,,
20,BLK,B,,
20,DD,TIE,,
20,TO,A,,
21,FG%,A,,
21,FT%,B,,
21,3P%,B,,
21,FG3M,B,,
21,PTS,B,,
21,REB,B,,
21,AST,A,,
21,STL,B,,
21,BLK,B,,
21,DD,B,,
21,TO,A,,
22,FG%,A,,
22,FT%,B,,
22,3P%,A,,
22,FG3M,B,,
22,PTS,B,,
22,REB,B,,
22,AST,B,,
22,STL,A,,
22,BLK,A,,
22,DD,B,,
22,TO,A,,
23,FG%,A,,
23,FT%,A,,
23,3P%,A,,
23,FG3M,B,,
23,PTS,B,,
23,REB,B,,
23,AST,B,,
23,STL,A,,
23,BLK,TIE,,
23,DD,B,,
23,TO,A,,
24,FG%,A,,
24,FT%,B,,
24,3P%,B,,
24,FG3M,B,,
24,PTS,B,,
24,REB,B,,
24,AST,B,,
24,STL,A,,
24,BLK,A,,
24,DD,B,,
24,TO,A,,
25,FG%,A,,
25,FT%,B,,
25,3P%,B,,
25,FG3M,B,,
25,PTS,B,,
25,REB,B,,
25,AST,B,,
25,STL,B,,
25,BLK,B,,
25,DD,B,,
25,TO,A,,
26,FG%,A,,
26,FT%,B,,
26,3P%,A,,
26,FG3M,B,,
26,PTS,B,,
26,REB,B,,
26,AST,B,,
26,STL,B,,
26,BLK,A,,
26,DD,B,,
26,TO,A,,
27,FG%,A,,
27,FT%,B,,
27,3P%,A,,
27,FG3M,B,,
27,PTS,B,,
27,REB,B,,
27,AST,B,,
27,STL,B,,
27,BLK,A,,
27,DD,B,,
27,TO,A,,
28,FG%,A,,
28,FT%,A,,
28,3P%,B,,
28,FG3M,B,,
28,PTS,B,,
28,REB,B,,
28,AST,B,,
28,STL,B,,
28,BLK,B,,
28,DD,B,,
28,TO,A,,
29,FG%,A,,
29,FT%,A,,
29,3P%,B,,
29,FG3M,B,,
29,PTS,B,,
29,REB,B,,
29,AST,A,,
29,STL,B,,
29,BLK,A,,
29,DD,B,,
29,TO,A,,
30,FG%,B,,
30,FT%,B,,
30,3P%,B,,
30,FG3M,B,,
30,PTS,B,,
30,REB,B,,
30,AST,B,,
30,STL,B,,
30,BLK,A,,
30,DD,B,,
30,TO,A,,
31,FG%,A,,
31,FT%,B,,
31,3P%,B,,
31,FG3M,B,,
31,PTS,B,,
31,REB,B,,
31,AST,B,,
31,STL,B,,
31,BLK,B,,
31,DD,A,,
31,TO,A,,
32,FG%,B,,
32,FT%,B,,
32,3P%,B,,
32,FG3M,B,,
32,PTS,B,,
32,REB,B,,
32,AST,B,,
32,STL,B,,
32,BLK,A,,
32,DD,A,,
32,TO,A,,
33,FG%,A,,
33,FT%,B,,
33,3P%,B,,
33,FG3M,B,,
33,PTS,B,,
33,REB,B,,
33,AST,B,,
33,STL,B,,
33,BLK,B,,
33,DD,TIE,,
33,TO,A,,
34,FG%,A,,
34,FT%,B,,
34,3P%,B,,
34,FG3M,B,,
34,PTS,B,,
34,REB,B,,
34,AST,B,,
34,STL,B,,
34,BLK,B,,
34,DD,B,,
34,TO,A,,
35,FG%,A,,
35,FT%,B,,
35,3P%,B,,
35,FG3M,B,,
35,PTS,B,,
35,REB,B,,
35,AST,B,,
35,STL,A,,
35,BLK,A,,
35,DD,B,,
35,TO,A,,
36,FG%,B,,
36,FT%,B,,
36,3P%,B,,
36,FG3M,B,,
36,PTS,B,,
36,REB,B,,
36,AST,B,,
36,STL,B,,
36,BLK,TIE,,
36,DD,B,,
36,TO,A,,
37,FG%,A,,
37,FT%,B,,
37,3P%,B,,
37,FG3M,B,,
37,PTS,B,,
37,REB,B,,
37,AST,B,,
37,STL,TIE,,
37,BLK,A,,
37,DD,B,,
37,TO,A,,
38,FG%,A,,
38,FT%,B,,
38,3P%,B,,
38,FG3M,B,,
38,PTS,B,,
38,REB,B,,
38,AST,B,,
38,STL,B,,
38,BLK,A,,
38,DD,B,,
38,TO,A,,
39,FG%,A,,
39,FT%,B,,
39,3P%,A,,
39,FG3M,B,,
39,PTS,B,,
39,REB,B,,
39,AST,B,,
39,STL,B,,
39,BLK,A,,
39,DD,B,,
39,TO,A,,
40,FG%,A,,
40,FT%,B,,
40,3P%,B,,
40,FG3M,B,,
40,PTS,B,,
40,REB,B,,
40,AST,B,,
40,STL,B,,
40,BLK,A,,
40,DD,B,,
40,TO,A,,
41,FG%,A,,
41,FT%,B,,
41,3P%,B,,
41,FG3M,B,,
41,PTS,B,,
41,REB,B,,
41,AST,A,,
41,STL,B,,
41,BLK,B,,
41,DD,B,,
41,TO,A,,
42,FG%,A,,
42,FT%,B,,
42,3P%,B,,
42,FG3M,B,,
42,PTS,B,,
42,REB,B,,
42,AST,B,,
42,STL,B,,
42,BLK,A,,
42,DD,B,,
42,TO,A,,
43,FG%,A,,
43,FT%,B,,
43,3P%,B,,
43,FG3M,B,,
43,PTS,B,,
43,REB,B,,
43,AST,B,,
43,STL,A,,
43,BLK,B,,
43,DD,B,,
43,TO,A,,
44,FG%,A,,
44,FT%,A,,
44,3P%,B,,
44,FG3M,B,,
44,PTS,B,,
44,REB,B,,
44,AST,B,,
44,STL,A,,
44,BLK,B,,
44,DD,B,,
44,TO,A,,
45,FG%,A,,
45,FT%,A,,
45,3P%,B,,
45,FG3M,B,,
45,PTS,B,,
45,REB,B,,
45,AST,B,,
45,STL,B,,
45,BLK,B,,
45,DD,B,,
45,TO,A,,
46,FG%,B,,
46,FT%,A,,
46,3P%,B,,
46,FG3M,B,,
46,PTS,B,,
46,REB,B,,
46,AST,B,,
46,STL,B,,
46,BLK,A,,
46,DD,B,,
46,TO,A,,
47,FG%,B,,
47,FT%,B,,
47,3P%,B,,
47,FG3M,B,,
47,PTS,B,,
47,REB,B,,
47,AST,A,,
47,STL,A,,
47,BLK,A,,
47,DD,TIE,,
47,TO,A,,
48,FG%,B,,
48,FT%,A,,
48,3P%,B,,
48,FG3M,B,,
48,PTS,B,,
48,REB,B,,
48,AST,B,,
48,STL,B,,
48,BLK,A,,
48,DD,A,,
48,TO,A,,
49,FG%,B,,
49,FT%,A,,
49,3P%,A,,
49,FG3M,B,,
49,PTS,B,,
49,REB,B,,
49,AST,B,,
49,STL,B,,
49,BLK,A,,
49,DD,TIE,,
49,TO,A,,
50,FG%,A,,
50,FT%,B,,
50,3P%,B,,
50,FG3M,B,,
50,PTS,B,,
50,REB,A,,
50,AST,B,,
50,STL,A,,
50,BLK,A,,
50,DD,A,,
50,TO,A,,
51,FG%,B,,
51,FT%,B,,
51,3P%,B,,
51,FG3M,B,,
51,PTS,B,,
51,REB,B,,
51,AST,A,,
51,STL,B,,
51,BLK,A,,
51,DD,B,,
51,TO,A,,
52,FG%,B,,
52,FT%,A,,
52,3P%,B,,
52,FG3M,B,,
52,PTS,B,,
52,REB,B,,
52,AST,B,,
52,STL,B,,
52,BLK,A,,
52,DD,A,,
52,TO,A,,
53,FG%,A,,
53,FT%,B,,
53,3P%,B,,
53,FG3M,B,,
53,PTS,B,,
53,REB,B,,
53,AST,B,,
53,STL,B,,
53,BLK,B,,
53,DD,B,,
53,TO,A,,
54,FG%,A,,
54,FT%,A,,
54,3P%,B,,
54,FG3M,B,,
54,PTS,B,,
54,REB,B,,
54,AST,A,,
54,STL,A,,
54,BLK,A,,
54,DD,B,,
54,TO,B,,
55,FG%,B,,
55,FT%,B,,
55,3P%,B,,
55,FG3M,B,,
55,PTS,B,,
55,REB,B,,
55,AST,B,,
55,STL,B,,
55,BLK,A,,
55,DD,A,,
55,TO,A,,
56,FG%,A,,
56,FT%,B,,
56,3P%,B,,
56,FG3M,B,,
56,PTS,B,,
56,REB,B,,
56,AST,B,,
56,STL,TIE,,
56,BLK,A,,
56,DD,B,,
56,TO,A,,
57,FG%,A,,
57,FT%,A,,
57,3P%,A,,
57,FG3M,B,,
57,PTS,B,,
57,REB,B,,
57,AST,A,,
57,STL,B,,
57,BLK,A,,
57,DD,B,,
57,TO,B,,
58,FG%,A,,
58,FT%,A,,
58,3P%,B,,
58,FG3M,B,,
58,PTS,B,,
58,REB,B,,
58,AST,B,,
58,STL,B,,
58,BLK,B,,
58,DD,B,,
58,TO,A,,
59,FG%,B,,
59,FT%,B,,
59,3P%,B,,
59,FG3M,B,,
59,PTS,B,,
59,REB,B,,
59,AST,B,,
59,STL,B,,
59,BLK,B,,
59,DD,B,,
59,TO,A,,
60,FG%,A,,
60,FT%,A,,
60,3P%,B,,
60,FG3M,B,,
60,PTS,B,,
60,REB,B,,
60,AST,B,,
60,STL,B,,
60,BLK,A,,
60,DD,B,,
60,TO,A,,
61,FG%,A,,
61,FT%,B,,
61,3P%,B,,
61,FG3M,B,,
61,PTS,B,,
61,REB,B,,
61,AST,B,,
61,STL,B,,
61,BLK,B,,
61,DD,B,,
61,TO,A,,
62,FG%,A,,
62,FT%,B,,
62,3P%,A,,
62,FG3M,B,,
62,PTS,B,,
62,REB,B,,
62,AST,B,,
62,STL,B,,
62,BLK,A,,
62,DD,B,,
62,TO,A,,
63,FG%,A,,
63,FT%,B,,
63,3P%,B,,
63,FG3M,B,,
63,PTS,B,,
63,REB,B,,
63,AST,B,,
63,STL,B,,
63,BLK,A,,
63,DD,B,,
63,TO,A,,
64,FG%,A,,
64,FT%,A,,
64,3P%,B,,
64,FG3M,B,,
64,PTS,B,,
64,REB,B,,
64,AST,B,,
64,STL,B,,
64,BLK,B,,
64,DD,B,,
64,TO,A,,
65,FG%,B,,
65,FT%,B,,
65,3P%,A,,
65,FG3M,B,,
65,PTS,B,,
65,REB,B,,
65,AST,B,,
65,STL,B,,
65,BLK,B,,
65,DD,B,,
65,TO,A,,
66,FG%,A,,
66,FT%,B,,
66,3P%,B,,
66,FG3M,B,,
66,PTS,B,,
66,REB,B,,
66,AST,B,,
66,STL,B,,
66,BLK,A,,
66,DD,B,,
66,TO,A,,
67,FG%,A,,
67,FT%,A,,
67,3P%,B,,
67,FG3M,B,,
67,PTS,B,,
67,REB,B,,
67,AST,B,,
67,STL,B,,
67,BLK,B,,
67,DD,B,,
67,TO,A,,
68,FG%,A,,
68,FT%,A,,
68,3P%,B,,
68,FG3M,B,,
68,PTS,B,,
68,REB,B,,
68,AST,B,,
68,STL,A,,
68,BLK,B,,
68,DD,A,,
68,TO,A,,
69,FG%,A,,
69,FT%,A,,
69,3P%,B,,
69,FG3M,B,,
69,PTS,B,,
69,REB,B,,
69,AST,B,,
69,STL,A,,
69,BLK,A,,
69,DD,TIE,,
69,TO,A,,
70,FG%,A,,
70,FT%,A,,
70,3P%,B,,
70,FG3M,B,,
70,PTS,B,,
70,REB,B,,
70,AST,B,,
70,STL,B,,
70,BLK,A,,
70,DD,B,,
70,TO,A,,
71,FG%,A,,
71,FT%,A,,
71,3P%,B,,
71,FG3M,B,,
71,PTS,B,,
71,REB,B,,
71,AST,B,,
71,STL,B,,
71,BLK,A,,
71,DD,A,,
71,TO,A,,
72,FG%,A,,
72,FT%,A,,
72,3P%,B,,
72,FG3M,B,,
72,PTS,B,,
72,REB,B,,
72,AST,B,,
72,STL,B,,
72,BLK,A,,
72,DD,A,,
72,TO,A,,
73,FG%,B,,
73,FT%,A,,
73,3P%,B,,
73,FG3M,B,,
73,PTS,B,,
73,REB,B,,
73,AST,B,,
73,STL,A,,
73,BLK,A,,
73,DD,A,,
73,TO,A,,
74,FG%,A,,
74,FT%,B,,
74,3P%,B,,
74,FG3M,B,,
74,PTS,B,,
74,REB,B,,
74,AST,B,,
74,STL,A,,
74,BLK,A,,
74,DD,B,,
74,TO,A,,
75,FG%,B,,
75,FT%,A,,
75,3P%,B,,
75,FG3M,B,,
75,PTS,B,,
75,REB,B,,
75,AST,B,,
75,STL,A,,
75,BLK,B,,
75,DD,B,,
75,TO,A,,
76,FG%,B,,
76,FT%,B,,
76,3P%,B,,
76,FG3M,B,,
76,PTS,B,,
76,REB,B,,
76,AST,A,,
76,STL,B,,
76,BLK,A,,
76,DD,TIE,,
76,TO,A,,
77,FG%,A,,
77,FT%,A,,
77,3P%,A,,
77,FG3M,B,,
77,PTS,B,,
77,REB,B,,
77,AST,B,,
77,STL,B,,
77,BLK,A,,
77,DD,B,,
77,TO,B,,
78,FG%,A,,
78,FT%,B,,
78,3P%,B,,
78,FG3M,B,,
78,PTS,B,,
78,REB,B,,
78,AST,B,,
78,STL,B,,
78,BLK,A,,
78,DD,B,,
78,TO,A,,
79,FG%,A,,
79,FT%,B,,
79,3P%,B,,
79,FG3M,B,,
79,PTS,B,,
79,REB,B,,
79,AST,B,,
79,STL,B,,
79,BLK,A,,
79,DD,A,,
79,TO,A,,
80,FG%,B,,
80,FT%,B,,
80,3P%,B,,
80,FG3M,B,,
80,PTS,B,,
80,REB,B,,
80,AST,B,,
80,STL,A,,
80,BLK,A,,
80,DD,B,,
80,TO,A,,
81,FG%,B,,
81,FT%,B,,
81,3P%,A,,
81,FG3M,B,,
81,PTS,B,,
81,REB,B,,
81,AST,B,,
81,STL,B,,
81,BLK,B,,
81,DD,B,,
81,TO,A,,
82,FG%,A,,
82,FT%,B,,
82,3P%,B,,
82,FG3M,B,,
82,PTS,B,,
82,REB,B,,
82,AST,A,,
82,STL,B,,
82,BLK,B,,
82,DD,B,,
82,TO,A,,
83,FG%,A,,
83,FT%,B,,
83,3P%,B,,
83,FG3M,B,,
83,PTS,B,,
83,REB,B,,
83,AST,B,,
83,STL,B,,
83,BLK,B,,
83,DD,B,,
83,TO,A,,
84,FG%,B,,
84,FT%,A,,
84,3P%,B,,
84,FG3M,B,,
84,PTS,B,,
84,REB,A,,
84,AST,TIE,,
84,STL,B,,
84,BLK,B,,
84,DD,TIE,,
84,TO,A,,
85,FG%,A,,
85,FT%,B,,
85,3P%,B,,
85,FG3M,B,,
85,PTS,B,,
85,REB,B,,
85,AST,B,,
85,STL,A,,
85,BLK,A,,
85,DD,TIE,,
85,TO,A,,
86,FG%,A,,
86,FT%,A,,
86,3P%,B,,
86,FG3M,B,,
86,PTS,B,,
86,REB,B,,
86,AST,B,,
86,STL,TIE,,
86,BLK,A,,
86,DD,B,,
86,TO,A,,
87,FG%,A,,
87,FT%,A,,
87,3P%,B,,
87,FG3M,B,,
87,PTS,B,,
87,REB,B,,
87,AST,A,,
87,STL,B,,
87,BLK,B,,
87,DD,B,,
87,TO,A,,
88,FG%,A,,
88,FT%,B,,
88,3P%,B,,
88,FG3M,B,,
88,PTS,B,,
88,REB,B,,
88,AST,A,,
88,STL,B,,
88,BLK,B,,
88,DD,B,,
88,TO,A,,
89,FG%,A,,
89,FT%,A,,
89,3P%,B,,
89,FG3M,B,,
89,PTS,B,,
89,REB,B,,
89,AST,B,,
89,STL,B,,
89,BLK,B,,
89,DD,TIE,,
89,TO,A,,
90,FG%,A,,
90,FT%,B,,
90,3P%,B,,
90,FG3M,B,,
90,PTS,B,,
90,REB,B,,
90,AST,B,,
90,STL,B,,
90,BLK,B,,
90,DD,TIE,,
90,TO,A,,
91,FG%,B,,
91,FT%,A,,
91,3P%,B,,
91,FG3M,B,,
91,PTS,B,,
91,REB,A,,
91,AST,B,,
91,STL,B,,
91,BLK,A,,
91,DD,B,,
91,TO,A,,
92,FG%,B,,
92,FT%,B,,
92,3P%,B,,
92,FG3M,B,,
92,PTS,B,,
92,REB,B,,
92,AST,B,,
92,STL,A,,
92,BLK,A,,
92,DD,A,,
92,TO,A,,
93,FG%,A,,
93,FT%,B,,
93,3P%,B,,
93,FG3M,B,,
93,PTS,B,,
93,REB,B,,
93,AST,A,,
93,STL,A,,
93,BLK,B,,
93,DD,A,,
93,TO,A,,
94,FG%,A,,
94,FT%,B,,
94,3P%,B,,
94,FG3M,B,,
94,PTS,B,,
94,REB,B,,
94,AST,B,,
94,STL,B,,
94,BLK,A,,
94,DD,B,,
94,TO,A,,
95,FG%,A,,
95,FT%,A,,
95,3P%,B,,
95,FG3M,B,,
95,PTS,B,,
95,REB,B,,
95,AST,B,,
95,STL,B,,
95,BLK,B,,
95,DD,A,,
95,TO,A,,
96,FG%,A,,
96,FT%,A,,
96,3P%,B,,
96,FG3M,B,,
96,PTS,B,,
96,REB,B,,
96,AST,B,,
96,STL,B,,
96,BLK,A,,
96,DD,B,,
96,TO,A,,
97,FG%,A,,
97,FT%,A,,
97,3P%,B,,
97,FG3M,B,,
97,PTS,B,,
97,REB,B,,
97,AST,B,,
97,STL,B,,
97,BLK,A,,
97,DD,B,,
97,TO,A,,
98,FG%,B,,
98,FT%,B,,
98,3P%,B,,
98,FG3M,B,,
98,PTS,B,,
98,REB,B,,
98,AST,B,,
98,STL,B,,
98,BLK,B,,
98,DD,B,,
98,TO,A,,
99,FG%,B,,
99,FT%,A,,
99,3P%,A,,
99,FG3M,B,,
99,PTS,B,,
99,REB,B,,
99,AST,B,,
99,STL,B,,
99,BLK,A,,
99,DD,TIE,,
99,TO,A,,
100,FG%,A,,
100,FT%,A,,
100,3P%,B,,
100,FG3M,B,,
100,PTS,B,,
100,REB,B,,
100,AST,B,,
100,STL,TIE,,
100,BLK,B,,
100,DD,B,,
100,TO,A,,
101,FG%,A,,
101,FT%,A,,
101,3P%,B,,
101,FG3M,B,,
101,PTS,B,,
101,REB,B,,
101,AST,B,,
101,STL,B,,
101,BLK,TIE,,
101,DD,B,,
101,TO,A,,
102,FG%,A,,
102,FT%,B,,
102,3P%,B,,
102,FG3M,B,,
102,PTS,B,,
102,REB,B,,
102,AST,B,,
102,STL,B,,
102,BLK,B,,
102,DD,B,,
102,TO,A,,
103,FG%,A,,
103,FT%,B,,
103,3P%,B,,
103,FG3M,B,,
103,PTS,B,,
103,REB,B,,
103,AST,B,,
103,STL,B,,
103,BLK,A,,
103,DD,B,,
103,TO,A,,
104,FG%,B,,
104,FT%,B,,
104,3P%,B,,
104,FG3M,B,,
104,PTS,B,,
104,REB,B,,
104,AST,B,,
104,STL,B,,
104,BLK,A,,
104,DD,B,,
104,TO,A,,
105,FG%,B,,
105,FT%,A,,
105,3P%,B,,
105,FG3M,B,,
105,PTS,B,,
105,REB,B,,
105,AST,B,,
105,STL,B,,
105,BLK,A,,
105,DD,A,,
105,TO,A,,
106,FG%,A,,
106,FT%,B,,
106,3P%,B,,
106,FG3M,B,,
106,PTS,B,,
106,REB,B,,
106,AST,B,,
106,STL,B,,
106,BLK,B,,
106,DD,B,,
106,TO,A,,
107,FG%,A,,
107,FT%,B,,
107,3P%,A,,
107,FG3M,B,,
107,PTS,B,,
107,REB,B,,
107,AST,A,,
107,STL,B,,
107,BLK,B,,
107,DD,A,,
107,TO,A,,
108,FG%,A,,
108,FT%,A,,
108,3P%,B,,
108,FG3M,B,,
108,PTS,B,,
108,REB,B,,
108,AST,B,,
108,STL,B,,
108,BLK,B,,
108,DD,B,,
108,TO,A,,
109,FG%,B,,
109,FT%,B,,
109,3P%,A,,
109,FG3M,B,,
109,PTS,B,,
109,REB,B,,
109,AST,B,,
109,STL,B,,
109,BLK,B,,
109,DD,A,,
109,TO,A,,
110,FG%,A,,
110,FT%,A,,
110,3P%,B,,
110,FG3M,B,,
110,PTS,B,,
110,REB,TIE,,
110,AST,B,,
110,STL,B,,
110,BLK,A,,
110,DD,A,,
110,TO,B,,
111,FG%,B,,
111,FT%,B,,
111,3P%,B,,
111,FG3M,B,,
111,PTS,B,,
111,REB,B,,
111,AST,B,,
111,STL,B,,
111,BLK,B,,
111,DD,B,,
111,TO,A,,
112,FG%,B,,
112,FT%,B,,
112,3P%,B,,
112,FG3M,B,,
112,PTS,B,,
112,REB,B,,
112,AST,B,,
112,STL,B,,
112,BLK,TIE,,
112,DD,A,,
112,TO,A,,
113,FG%,A,,
113,FT%,A,,
113,3P%,B,,
113,FG3M,B,,
113,PTS,B,,
113,REB,B,,
113,AST,A,,
113,STL,A,,
113,BLK,A,,
113,DD,TIE,,
113,TO,A,,
114,FG%,B,,
114,FT%,B,,
114,3P%,B,,
114,FG3M,B,,
114,PTS,B,,
114,REB,B,,
114,AST,A,,
114,STL,A,,
114,BLK,A,,
114,DD,TIE,,
114,TO,A,,
115,FG%,A,,
115,FT%,B,,
115,3P%,B,,
115,FG3M,B,,
115,PTS,B,,
115,REB,B,,
115,AST,B,,
115,STL,TIE,,
115,BLK,TIE,,
115,DD,B,,
115,TO,A,,
116,FG%,B,,
116,FT%,A,,
116,3P%,B,,
116,FG3M,B,,
116,PTS,B,,
116,REB,TIE,,
116,AST,B,,
116,STL,B,,
116,BLK,A,,
116,DD,TIE,,
116,TO,A,,
117,FG%,A,,
117,FT%,A,,
117,3P%,B,,
117,FG3M,B,,
117,PTS,B,,
117,REB,B,,
117,AST,B,,
117,STL,B,,
117,BLK,A,,
117,DD,B,,
117,TO,A,,
118,FG%,A,,
118,FT%,B,,
118,3P%,B,,
118,FG3M,B,,
118,PTS,B,,
118,REB,B,,
118,AST,B,,
118,STL,B,,
118,BLK,B,,
118,DD,TIE,,
118,TO,A,,
119,FG%,A,,
119,FT%,B,,
119,3P%,B,,
119,FG3M,B,,
119,PTS,B,,
119,REB,B,,
119,AST,B,,
119,STL,B,,
119,BLK,B,,
119,DD,TIE,,
119,TO,A,,
120,FG%,B,,
120,FT%,A,,
120,3P%,B,,
120,FG3M,B,,
120,PTS,B,,
120,REB,B,,
120,AST,B,,
120,STL,B,,
120,BLK,A,,
120,DD,B,,
120,TO,A,,
121,FG%,A,,
121,FT%,B,,
121,3P%,B,,
121,FG3M,B,,
121,PTS,B,,
121,REB,A,,
121,AST,B,,
121,STL,A,,
121,BLK,TIE,,
121,DD,A,,
121,TO,A,,
122,FG%,A,,
122,FT%,B,,
122,3P%,B,,
122,FG3M,B,,
122,PTS,B,,
122,REB,B,,
122,AST,B,,
122,STL,B,,
122,BLK,B,,
122,DD,A,,
122,TO,B,,
123,FG%,A,,
123,FT%,B,,
123,3P%,B,,
123,FG3M,B,,
123,PTS,B,,
123,REB,B,,
123,AST,A,,
123,STL,B,,
123,BLK,B,,
123,DD,B,,
123,TO,B,,
124,FG%,B,,
124,FT%,A,,
124,3P%,B,,
124,FG3M,B,,
124,PTS,B,,
124,REB,B,,
124,AST,B,,
124,STL,B,,
124,BLK,A,,
124,DD,TIE,,
124,TO,A,,
125,FG%,A,,
125,FT%,A,,
125,3P%,B,,
125,FG3M,B,,
125,PTS,B,,
125,REB,B,,
125,AST,B,,
125,STL,A,,
125,BLK,A,,
125,DD,B,,
125,TO,B,,
126,FG%,A,,
126,FT%,B,,
126,3P%,B,,
126,FG3M,B,,
126,PTS,B,,
126,REB,B,,
126,AST,B,,
126,STL,B,,
126,BLK,TIE,,
126,DD,B,,
126,TO,A,,
127,FG%,A,,
127,FT%,A,,
127,3P%,B,,
127,FG3M,B,,
127,PTS,B,,
127,REB,B,,
127,AST,B,,
127,STL,B,,
127,BLK,A,,
127,DD,B,,
127,TO,A,,
128,FG%,A,,
128,FT%,B,,
128,3P%,B,,
128,FG3M,B,,
128,PTS,B,,
128,REB,B,,
128,AST,A,,
128,STL,B,,
128,BLK,A,,
128,DD,TIE,,
128,TO,A,,
129,FG%,A,,
129,FT%,A,,
129,3P%,B,,
129,FG3M,B,,
129,PTS,B,,
129,REB,B,,
129,AST,A,,
129,STL,B,,
129,BLK,B,,
129,DD,B,,
129,TO,A,,
130,FG%,B,,
130,FT%,B,,
130,3P%,B,,
130,FG3M,B,,
130,PTS,B,,
130,REB,B,,
130,AST,B,,
130,STL,A,,
130,BLK,A,,
130,DD,B,,
