FGA,FTA,FG3A,FGM,FTM,FG3M,PTS,REB,AST,STL,BLK,TOV,DD,sim_num,game_num,player_name
11,1,2,2,1,0,17,5,2,0,1,7,0,2,0,Shaedon Sharpe
10,2,6,5,2,2,11,5,2,1,0,5,0,2,1,Shaedon Sharpe
18,2,7,7,0,3,14,1,5,2,1,1,0,2,2,Shaedon Sharpe
14,3,2,8,3,1,8,0,3,0,0,2,0,2,0,Malik Monk
16,5,6,7,4,3,12,2,2,1,0,1,0,2,1,Malik Monk
9,3,6,1,3,1,16,4,1,1,0,0,0,2,2,Malik Monk
12,1,12,6,1,4,17,2,4,0,0,2,0,2,0,Buddy Hield
14,1,9,7,0,2,17,1,0,1,0,1,0,2,1,Buddy Hield
10,1,6,7,0,1,20,3,1,1,0,0,0,2,2,Buddy Hield
13,1,2,6,0,1,11,5,3,0,1,1,0,2,0,Zaccharie Risacher
20,2,3,11,1,3,12,4,0,1,0,3,0,2,1,Zaccharie Risacher
8,4,3,4,2,0,9,3,1,2,0,1,0,2,2,Zaccharie Risacher
6,2,2,3,1,0,5,1,1,0,0,0,0,2,0,Nikola Jovic
7,1,1,2,1,0,4,5,0,1,0,2,0,2,1,Nikola Jovic
11,2,3,3,0,1,9,5,2,1,0,1,0,2,2,Nikola Jovic
9,1,4,4,0,1,15,2,0,1,0,0,0,2,0,Jaylen Wells
13,1,9,9,1,4,15,5,2,0,0,0,0,2,1,Jaylen Wells
8,2,4,2,1,2,10,4,5,0,0,0,0,2,2,Jaylen Wells
26,3,7,9,3,2,16,12,2,0,2,2,1,3,0,Anthony Davis
15,10,1,7,9,1,28,20,4,2,4,1,1,3,1,Anthony Davis
22,4,2,10,4,1,19,7,1,0,2,2,0,3,2,Anthony Davis
20,1,7,11,1,2,19,16,4,0,0,2,1,3,0,Nikola Vucevic
17,2,4,10,1,2,20,17,2,2,0,3,1,3,1,Nikola Vucevic
15,2,4,12,0,3,24,15,2,3,0,0,1,3,2,Nikola Vucevic
17,1,3,9,1,1,23,8,7,0,0,1,0,3,0,Jamal Murray
17,2,3,3,1,0,15,7,4,2,0,3,0,3,1,Jamal Murray
15,7,2,7,4,1,13,5,6,0,1,6,0,3,2,Jamal Murray
19,4,9,7,4,3,21,0,2,2,0,2,0,3,0,Jordan Poole
11,2,6,5,2,2,21,4,6,1,0,1,0,3,1,Jordan Poole
18,3,3,3,2,1,18,1,4,1,0,3,0,3,2,Jordan Poole
5,1,6,1,0,0,11,1,1,2,0,2,0,3,0,Reed Sheppard
5,1,3,2,0,1,4,0,1,3,0,0,0,3,1,Reed Sheppard
8,2,6,2,0,2,0,2,2,0,1,0,0,3,2,Reed Sheppard
7,2,3,2,0,0,12,5,5,1,0,3,0,3,0,Jalen Suggs
11,1,3,6,0,2,7,4,2,2,0,1,0,3,1,Jalen Suggs
15,2,2,7,1,2,15,3,1,4,2,2,0,3,2,Jalen Suggs
14,2,10,4,1,2,15,1,1,3,0,0,0,3,0,Shaedon Sharpe
7,1,5,3,0,3,12,4,2,0,0,1,0,3,1,Shaedon Sharpe
10,2,3,3,2,0,9,4,3,2,0,4,0,3,2,Shaedon Sharpe
13,3,5,3,2,2,10,0,0,2,0,1,0,3,0,Malik Monk
10,1,6,5,1,2,16,2,2,1,0,2,0,3,1,Malik Monk
11,2,6,8,2,4,14,1,4,1,0,2,0,3,2,Malik Monk
9,1,10,5,1,5,16,4,1,1,0,4,0,3,0,Buddy Hield
6,1,15,4,1,4,17,5,0,0,0,3,0,3,1,Buddy Hield
16,2,6,7,0,2,16,4,5,1,0,4,0,3,2,Buddy Hield
7,5,6,5,3,2,18,3,2,0,0,0,0,3,0,Zaccharie Risacher
9,2,4,2,1,0,10,1,0,0,1,0,0,3,1,Zaccharie Risacher
7,3,2,3,3,0,12,1,2,1,0,1,0,3,2,Zaccharie Risacher
5,2,3,3,1,2,8,3,1,0,0,4,0,3,0,Nikola Jovic
4,1,3,1,0,0,7,6,0,0,1,1,0,3,1,Nikola Jovic
8,3,7,2,1,2,12,3,0,0,0,0,0,3,2,Nikola Jovic
9,1,7,4,0,2,16,5,2,1,0,1,0,3,0,Jaylen Wells
9,2,6,3,1,1,8,2,1,0,0,1,0,3,1,Jaylen Wells
9,2,8,2,1,2,8,0,2,0,0,2,0,3,2,Jaylen Wells
20,9,2,9,9,0,20,9,1,0,1,0,0,4,0,Anthony Davis
17,7,1,9,6,0,33,10,3,2,2,3,1,4,1,Anthony Davis
14,5,2,7,4,2,24,20,0,4,2,1,1,4,2,Anthony Davis
17,2,7,10,1,2,26,12,1,0,1,3,1,4,0,Nikola Vucevic
12,5,4,7,5,3,20,12,4,1,1,0,1,4,1,Nikola Vucevic
20,4,7,13,3,3,22,12,1,0,0,2,1,4,2,Nikola Vucevic
5,3,6,2,2,2,18,4,8,1,0,2,0,4,0,Jamal Murray
20,3,3,9,3,1,23,6,8,0,0,0,0,4,1,Jamal Murray
18,3,3,8,1,1,20,5,6,2,0,1,0,4,2,Jamal Murray
9,1,6,4,1,0,12,2,2,2,0,1,0,4,0,Jordan Poole
10,2,4,3,2,1,19,3,5,1,0,0,0,4,1,Jordan Poole
18,1,2,8,1,0,19,4,0,2,0,1,0,4,2,Jordan Poole
6,1,8,0,0,0,7,0,1,2,0,1,0,4,0,Reed Sheppard
2,1,2,1,0,1,6,2,1,0,0,1,0,4,1,Reed Sheppard
3,1,3,2,1,0,3,2,0,1,0,0,0,4,2,Reed Sheppard
8,1,3,4,0,1,12,1,2,1,0,0,0,4,0,Jalen Suggs
6,5,8,3,1,0,15,4,3,1,0,2,0,4,1,Jalen Suggs
10,1,3,6,0,1,7,5,2,0,0,4,0,4,2,Jalen Suggs
12,2,6,2,2,2,10,1,3,1,0,6,0,4,0,Shaedon Sharpe
8,2,3,1,1,1,17,3,1,1,0,5,0,4,1,Shaedon Sharpe
14,4,5,7,3,1,16,6,3,0,0,6,0,4,2,Shaedon Sharpe
14,4,3,7,3,2,21,2,0,0,0,1,0,4,0,Malik Monk
8,2,2,5,1,2,16,1,1,1,0,3,0,4,1,Malik Monk
9,2,4,4,1,2,14,2,3,0,1,2,0,4,2,Malik Monk
11,1,4,2,0,1,17,1,3,1,0,2,0,4,0,Buddy Hield
15,1,11,6,0,6,17,5,2,1,1,1,0,4,1,Buddy Hield
13,1,6,8,1,2,18,5,2,0,0,2,0,4,2,Buddy Hield
15,1,4,9,1,1,14,10,1,0,1,0,1,4,0,Zaccharie Risacher
8,4,5,1,0,1,13,2,1,3,1,0,0,4,1,Zaccharie Risacher
9,1,5,3,0,1,6,2,1,1,1,1,0,4,2,Zaccharie Risacher
6,1,2,1,0,0,7,4,1,0,0,0,0,4,0,Nikola Jovic
4,2,2,2,2,1,6,5,0,0,0,1,0,4,1,Nikola Jovic
5,3,2,1,2,1,8,2,1,2,0,2,0,4,2,Nikola Jovic
10,3,3,4,0,1,7,8,5,1,0,0,0,4,0,Jaylen Wells
5,1,1,2,1,1,12,4,4,0,0,4,0,4,1,Jaylen Wells
7,2,7,2,1,0,10,1,0,0,0,1,0,4,2,Jaylen Wells
17,3,4,7,3,1,26,16,8,3,0,0,1,5,0,Anthony Davis
21,10,4,12,7,0,19,5,5,3,4,1,0,5,1,Anthony Davis
20,6,4,6,6,1,21,9,2,1,5,1,0,5,2,Anthony Davis
24,2,1,15,1,0,25,14,1,0,1,1,1,5,0,Nikola Vucevic
24,2,7,12,1,1,10,15,1,1,0,2,1,5,1,Nikola Vucevic
25,3,6,10,2,3,28,6,1,0,0,1,0,5,2,Nikola Vucevic
13,3,5,11,2,2,20,6,3,2,2,3,0,5,0,Jamal Murray
14,2,11,8,1,3,21,5,11,1,0,5,1,5,1,Jamal Murray
21,6,7,14,4,2,23,5,5,0,0,0,0,5,2,Jamal Murray
16,4,4,6,2,4,18,2,3,0,0,2,0,5,0,Jordan Poole
18,4,5,5,2,2,21,2,3,0,0,0,0,5,1,Jordan Poole
8,3,5,5,2,1,18,3,3,0,0,1,0,5,2,Jordan Poole
4,1,5,0,0,0,7,0,0,1,0,0,0,5,0,Reed Sheppard
4,1,4,1,0,0,5,2,4,2,1,1,0,5,1,Reed Sheppard
2,1,2,0,0,0,4,1,0,2,1,1,0,5,2,Reed Sheppard
8,1,4,4,1,2,19,5,2,1,0,2,0,5,0,Jalen Suggs
7,1,7,5,1,5,15,5,7,1,1,2,0,5,1,Jalen Suggs
7,3,2,3,2,1,8,1,3,2,2,1,0,5,2,Jalen Suggs
13,2,7,5,1,2,6,5,5,2,1,6,0,5,0,Shaedon Sharpe
16,2,5,6,1,2,12,3,2,0,0,1,0,5,1,Shaedon Sharpe
18,3,5,8,1,0,13,2,2,1,0,2,0,5,2,Shaedon Sharpe
10,3,5,5,0,4,12,2,4,1,0,1,0,5,0,Malik Monk
10,2,6,2,1,2,14,2,4,2,0,2,0,5,1,Malik Monk
10,4,4,5,4,1,12,6,3,1,0,0,0,5,2,Malik Monk
9,1,10,6,1,4,16,4,3,0,0,2,0,5,0,Buddy Hield
10,2,10,5,0,5,23,0,2,1,0,0,0,5,1,Buddy Hield
13,1,12,5,0,4,16,1,3,1,0,1,0,5,2,Buddy Hield
11,4,6,4,0,2,8,6,0,0,0,1,0,5,0,Zaccharie Risacher
11,1,1,3,0,1,10,6,2,1,0,1,0,5,1,Zaccharie Risacher
11,1,6,7,0,1,12,2,3,0,0,0,0,5,2,Zaccharie Risacher
6,1,2,3,1,1,6,3,0,0,1,1,0,5,0,Nikola Jovic
8,2,3,6,1,1,9,4,0,0,1,1,0,5,1,Nikola Jovic
10,5,2,3,2,0,6,1,0,0,0,1,0,5,2,Nikola Jovic
7,1,2,4,0,1,15,5,3,2,0,1,0,5,0,Jaylen Wells
9,1,3,3,0,1,13,5,2,0,0,0,0,5,1,Jaylen Wells
16,1,6,7,0,0,14,5,2,1,0,4,0,5,2,Jaylen Wells
22,8,3,8,4,1,25,9,1,2,2,1,0,6,0,Anthony Davis
18,7,6,8,7,2,19,9,5,2,1,1,0,6,1,Anthony Davis
14,9,5,8,5,1,25,18,3,1,2,1,1,6,2,Anthony Davis
11,2,7,4,2,4,20,11,5,2,0,1,1,6,0,Nikola Vucevic
13,3,6,5,3,4,22,13,2,1,1,1,1,6,1,Nikola Vucevic
17,5,3,10,4,1,17,8,4,1,0,1,0,6,2,Nikola Vucevic
13,3,7,4,1,4,15,4,3,0,1,1,0,6,0,Jamal Murray
17,3,11,10,3,5,20,2,4,0,0,3,0,6,1,Jamal Murray
14,1,5,8,0,1,22,6,5,0,1,0,0,6,2,Jamal Murray
11,6,5,3,5,2,9,2,7,0,0,0,0,6,0,Jordan Poole
19,2,8,8,2,2,15,0,1,1,0,3,0,6,1,Jordan Poole
11,3,6,4,3,1,14,1,1,1,0,1,0,6,2,Jordan Poole
6,1,2,2,0,1,4,1,4,0,1,2,0,6,0,Reed Sheppard
6,1,5,2,0,1,5,2,0,3,0,2,0,6,1,Reed Sheppard
6,1,3,5,0,1,3,4,3,1,0,2,0,6,2,Reed Sheppard
8,2,2,4,0,1,11,3,2,1,0,7,0,6,0,Jalen Suggs
9,1,5,3,0,3,8,4,1,0,1,2,0,6,1,Jalen Suggs
4,3,2,1,2,1,13,1,3,2,0,1,0,6,2,Jalen Suggs
12,1,5,2,1,2,14,3,2,1,0,5,0,6,0,Shaedon Sharpe
19,1,3,8,1,1,14,3,2,1,1,1,0,6,1,Shaedon Sharpe
15,1,3,5,0,0,13,1,3,0,1,2,0,6,2,Shaedon Sharpe
8,2,2,6,2,1,22,1,3,0,0,0,0,6,0,Malik Monk
9,4,5,2,2,2,14,2,3,0,0,1,0,6,1,Malik Monk
11,4,7,3,2,3,18,0,5,0,0,1,0,6,2,Malik Monk
15,1,12,4,1,4,15,6,2,3,0,1,0,6,0,Buddy Hield
11,2,7,6,1,2,22,4,4,2,1,2,0,6,1,Buddy Hield
12,1,11,5,1,4,19,4,0,2,0,4,0,6,2,Buddy Hield
19,3,4,7,1,1,16,1,1,1,1,1,0,6,0,Zaccharie Risacher
12,2,5,7,2,1,15,7,2,1,1,2,0,6,1,Zaccharie Risacher
16,3,3,9,1,3,11,2,2,1,0,3,0,6,2,Zaccharie Risacher
9,3,3,3,3,3,11,3,0,1,0,4,0,6,0,Nikola Jovic
7,1,4,2,0,0,8,0,0,3,0,3,0,6,1,Nikola Jovic
5,2,2,1,0,0,13,2,0,1,0,3,0,6,2,Nikola Jovic
9,1,6,2,1,1,16,7,3,0,0,1,0,6,0,Jaylen Wells
6,1,8,5,1,1,10,1,2,0,1,0,0,6,1,Jaylen Wells
9,2,6,2,2,2,8,2,1,0,0,1,0,6,2,Jaylen Wells
20,5,4,6,5,0,14,9,1,1,3,3,0,7,0,Anthony Davis
19,8,2,8,7,0,25,16,2,0,1,0,1,7,1,Anthony Davis
16,3,4,4,3,1,22,13,2,5,3,0,1,7,2,Anthony Davis
14,1,5,6,1,4,20,12,3,0,0,3,1,7,0,Nikola Vucevic
22,2,1,10,0,1,23,13,2,0,0,0,1,7,1,Nikola Vucevic
15,4,6,7,2,5,34,10,1,0,0,0,1,7,2,Nikola Vucevic
12,2,2,1,1,1,21,5,9,2,0,5,0,7,0,Jamal Murray
18,3,8,5,2,2,20,5,7,1,0,0,0,7,1,Jamal Murray
15,3,5,8,2,1,20,3,3,0,1,1,0,7,2,Jamal Murray
21,4,8,11,4,2,18,1,3,1,0,1,0,7,0,Jordan Poole
14,4,3,8,3,1,12,3,3,2,0,2,0,7,1,Jordan Poole
8,3,2,2,2,1,8,3,2,1,0,1,0,7,2,Jordan Poole
3,1,3,1,0,1,7,3,2,0,2,0,0,7,0,Reed Sheppard
4,1,3,0,0,0,1,3,0,1,0,0,0,7,1,Reed Sheppard
2,1,4,1,0,1,6,1,1,0,1,0,0,7,2,Reed Sheppard
6,1,4,5,1,2,5,5,4,4,1,1,0,7,0,Jalen Suggs
11,1,3,4,0,3,15,3,5,2,0,2,0,7,1,Jalen Suggs
9,2,5,3,1,2,15,0,4,0,1,4,0,7,2,Jalen Suggs
16,1,7,6,0,3,13,3,4,1,1,1,0,7,0,Shaedon Sharpe
14,8,2,5,3,0,13,3,4,1,0,3,0,7,1,Shaedon Sharpe
13,4,8,5,4,3,17,4,1,0,0,3,0,7,2,Shaedon Sharpe
11,4,2,5,3,0,19,3,5,0,0,2,0,7,0,Malik Monk
7,4,9,3,4,3,11,3,2,1,0,0,0,7,1,Malik Monk
12,2,6,6,1,1,13,1,2,0,1,2,0,7,2,Malik Monk
11,2,9,7,1,5,15,3,1,2,0,3,0,7,0,Buddy Hield
8,2,7,5,1,3,20,2,3,1,0,0,0,7,1,Buddy Hield
17,3,6,8,2,4,13,1,2,0,0,3,0,7,2,Buddy Hield
11,6,9,7,3,3,10,2,0,2,0,0,0,7,0,Zaccharie Risacher
12,3,1,3,2,1,10,4,2,0,0,1,0,7,1,Zaccharie Risacher
11,3,7,4,3,2,17,1,1,0,0,1,0,7,2,Zaccharie Risacher
5,1,3,3,0,1,9,0,3,2,0,2,0,7,0,Nikola Jovic
6,1,3,3,0,1,8,2,4,1,0,1,0,7,1,Nikola Jovic
6,3,1,1,2,1,5,2,2,1,1,2,0,7,2,Nikola Jovic
5,1,9,1,0,1,10,4,0,1,0,2,0,7,0,Jaylen Wells
8,1,9,6,0,2,6,7,1,0,0,2,0,7,1,Jaylen Wells
7,1,3,3,1,1,7,3,0,1,0,2,0,7,2,Jaylen Wells
19,8,3,8,5,2,24,12,6,2,4,2,1,8,0,Anthony Davis
24,8,3,11,7,1,30,10,2,0,3,2,1,8,1,Anthony Davis
12,9,3,7,9,1,21,8,3,0,3,2,0,8,2,Anthony Davis
12,3,4,5,3,2,24,8,5,0,1,2,0,8,0,Nikola Vucevic
18,2,7,8,2,2,16,15,6,0,0,0,1,8,1,Nikola Vucevic
13,1,7,6,1,2,20,16,2,1,0,0,1,8,2,Nikola Vucevic
13,2,4,4,1,2,29,2,11,1,1,2,1,8,0,Jamal Murray
15,1,5,8,1,1,16,3,5,3,0,2,0,8,1,Jamal Murray
19,4,3,8,4,1,25,1,5,1,0,2,0,8,2,Jamal Murray
11,1,7,6,1,3,16,2,2,0,0,1,0,8,0,Jordan Poole
8,8,8,3,6,2,17,0,2,0,0,1,0,8,1,Jordan Poole
12,2,5,7,2,0,16,3,1,0,0,0,0,8,2,Jordan Poole
2,1,3,0,0,0,7,0,1,0,2,1,0,8,0,Reed Sheppard
1,1,1,0,1,0,5,1,1,1,1,0,0,8,1,Reed Sheppard
3,1,1,2,0,0,3,4,3,3,1,0,0,8,2,Reed Sheppard
4,1,1,2,0,0,12,4,3,1,0,0,0,8,0,Jalen Suggs
13,2,8,6,2,5,15,4,5,2,1,1,0,8,1,Jalen Suggs
12,2,4,7,0,1,16,3,6,2,0,1,0,8,2,Jalen Suggs
10,2,4,6,1,2,11,4,1,1,0,1,0,8,0,Shaedon Sharpe
6,1,1,2,1,0,10,1,1,0,0,2,0,8,1,Shaedon Sharpe
11,1,4,2,1,2,10,5,2,0,0,1,0,8,2,Shaedon Sharpe
15,4,3,10,3,0,16,2,2,0,0,1,0,8,0,Malik Monk
7,4,4,3,3,2,15,2,3,0,0,1,0,8,1,Malik Monk
8,5,7,5,3,3,14,3,2,1,2,1,0,8,2,Malik Monk
17,1,10,6,0,6,22,7,2,1,0,2,0,8,0,Buddy Hield
7,1,2,1,1,1,13,3,0,2,1,5,0,8,1,Buddy Hield
11,1,5,4,0,2,19,3,1,0,0,1,0,8,2,Buddy Hield
14,1,3,2,0,1,10,5,2,0,0,2,0,8,0,Zaccharie Risacher
5,1,6,3,0,2,11,3,1,1,1,0,0,8,1,Zaccharie Risacher
7,1,6,3,1,2,14,3,1,0,0,1,0,8,2,Zaccharie Risacher
6,2,4,4,2,2,10,4,1,2,0,2,0,8,0,Nikola Jovic
10,1,5,5,0,1,8,3,0,1,0,0,0,8,1,Nikola Jovic
7,1,5,1,1,1,8,3,1,0,0,1,0,8,2,Nikola Jovic
7,2,8,4,1,2,13,3,1,0,0,2,0,8,0,Jaylen Wells
7,4,6,1,2,1,11,0,1,0,0,1,0,8,1,Jaylen Wells
4,2,8,1,0,1,12,5,2,1,0,1,0,8,2,Jaylen Wells
16,2,3,7,2,0,25,11,5,2,0,2,1,9,0,Anthony Davis
21,7,2,10,4,1,24,14,1,1,1,1,1,9,1,Anthony Davis
28,9,2,17,8,1,18,7,1,2,3,3,0,9,2,Anthony Davis
23,4,7,11,1,3,16,12,3,1,0,0,1,9,0,Nikola Vucevic
14,1,11,6,1,6,17,15,3,2,0,1,1,9,1,Nikola Vucevic
19,1,6,13,1,0,16,12,3,0,0,2,1,9,2,Nikola Vucevic
12,4,10,6,3,3,16,7,4,1,0,2,0,9,0,Jamal Murray
13,6,8,8,5,0,15,5,1,1,0,1,0,9,1,Jamal Murray
13,4,4,7,4,3,11,3,6,1,0,2,0,9,2,Jamal Murray
18,2,5,8,1,1,25,1,2,1,0,1,0,9,0,Jordan Poole
10,2,4,6,2,2,24,0,5,0,0,1,0,9,1,Jordan Poole
15,2,8,4,2,2,19,3,2,0,0,3,0,9,2,Jordan Poole
3,1,3,2,1,0,5,1,3,0,1,0,0,9,0,Reed Sheppard
6,1,1,1,0,0,7,0,0,0,0,0,0,9,1,Reed Sheppard
3,1,7,0,0,0,4,2,3,0,0,0,0,9,2,Reed Sheppard
7,1,7,5,1,5,11,4,4,0,0,0,0,9,0,Jalen Suggs
12,2,3,6,1,1,11,7,6,4,0,2,0,9,1,Jalen Suggs
9,1,3,5,1,2,13,6,1,2,0,1,0,9,2,Jalen Suggs
12,1,1,5,1,1,13,1,3,0,0,2,0,9,0,Shaedon Sharpe
9,3,1,3,2,0,17,2,1,0,0,3,0,9,1,Shaedon Sharpe
22,4,7,9,4,1,8,3,5,0,0,2,0,9,2,Shaedon Sharpe
14,4,3,7,2,1,13,4,2,0,0,2,0,9,0,Malik Monk
12,5,12,7,5,3,15,0,3,1,0,0,0,9,1,Malik Monk
14,2,3,6,2,2,15,4,2,0,0,1,0,9,2,Malik Monk
11,1,6,5,0,4,24,6,0,2,0,3,0,9,0,Buddy Hield
12,1,7,5,0,0,12,5,1,0,0,2,0,9,1,Buddy Hield
14,1,6,8,0,1,15,3,2,2,0,1,0,9,2,Buddy Hield
8,4,2,6,1,0,15,3,1,0,0,0,0,9,0,Zaccharie Risacher
8,2,3,1,1,1,19,4,1,0,1,2,0,9,1,Zaccharie Risacher
7,3,5,3,1,1,12,3,1,0,0,1,0,9,2,Zaccharie Risacher
2,1,1,1,1,0,8,4,2,0,0,1,0,9,0,Nikola Jovic
5,1,5,1,0,1,16,1,0,1,0,0,0,9,1,Nikola Jovic
