Player Name,From Year,To Year,Position,Height,Weight,Birth Date,Player URL
Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",https://www.basketball-reference.com/players/a/aldrico01.html
LaMarcus Aldridge,2007,2022,F-C,6-11,250,"July 19, 1985",https://www.basketball-reference.com/players/a/aldrila01.html
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",https://www.basketball-reference.com/players/a/aleksch01.html
Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",https://www.basketball-reference.com/players/a/alexacl01.html
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",https://www.basketball-reference.com/players/a/alexaco01.html
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977",https://www.basketball-reference.com/players/a/alexaco02.html
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",https://www.basketball-reference.com/players/a/alexaga01.html
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",https://www.basketball-reference.com/players/a/alexajo01.html
Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",https://www.basketball-reference.com/players/a/alexaky01.html
Ty-Shon Alexander,2021,2021,G,6-3,195,"July 16, 1998",https://www.basketball-reference.com/players/a/alexaty01.html
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",https://www.basketball-reference.com/players/a/alexavi01.html
Nickeil Alexander-Walker,2020,2024,G,6-5,205,"September 2, 1998",https://www.basketball-reference.com/players/a/alexani01.html
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",https://www.basketball-reference.com/players/a/alforst01.html
Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",https://www.basketball-reference.com/players/a/alkinra01.html
Bill Allen,1968,1968,C-F,6-8,205,,https://www.basketball-reference.com/players/a/allenbi01.html
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",https://www.basketball-reference.com/players/a/allenbo01.html
Grayson Allen,2019,2024,G,6-4,198,"October 8, 1995",https://www.basketball-reference.com/players/a/allengr01.html
Jarrett Allen,2018,2024,C-F,6-11,243,"April 21, 1998",https://www.basketball-reference.com/players/a/allenja01.html
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",https://www.basketball-reference.com/players/a/allenje01.html
Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",https://www.basketball-reference.com/players/a/allenka01.html
Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",https://www.basketball-reference.com/players/a/allenla01.html
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947",https://www.basketball-reference.com/players/a/allenlu01.html
Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",https://www.basketball-reference.com/players/a/allenma01.html
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",https://www.basketball-reference.com/players/a/allenra01.html
Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",https://www.basketball-reference.com/players/a/allenra02.html
Timmy Allen,2024,2024,F,6-6,210,"January 9, 2000",https://www.basketball-reference.com/players/a/allenti01.html
Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982",https://www.basketball-reference.com/players/a/allento01.html
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",https://www.basketball-reference.com/players/a/allenwi01.html
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949",https://www.basketball-reference.com/players/a/allisod01.html
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",https://www.basketball-reference.com/players/a/allrela01.html
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958",https://www.basketball-reference.com/players/a/allumda01.html
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",https://www.basketball-reference.com/players/a/almonmo01.html
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",https://www.basketball-reference.com/players/a/alstode01.html
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",https://www.basketball-reference.com/players/a/alstora01.html
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",https://www.basketball-reference.com/players/a/alumape01.html
Jose Alvarado,2022,2024,G,6-0,179,"April 12, 1998",https://www.basketball-reference.com/players/a/alvarjo01.html
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970",https://www.basketball-reference.com/players/a/amaecjo01.html
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",https://www.basketball-reference.com/players/a/amayaas01.html
Al-Farouq Aminu,2011,2021,F,6-8,220,"September 21, 1990",https://www.basketball-reference.com/players/a/aminual01.html
Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",https://www.basketball-reference.com/players/a/amundlo01.html
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",https://www.basketball-reference.com/players/a/anderbo01.html
Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",https://www.basketball-reference.com/players/a/anderch01.html
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",https://www.basketball-reference.com/players/a/anderda03.html
Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",https://www.basketball-reference.com/players/a/anderal01.html
Andy Anderson,1968,1970,G,6-2,184,"July 6, 1945",https://www.basketball-reference.com/players/a/anderan01.html
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",https://www.basketball-reference.com/players/a/anderan02.html
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",https://www.basketball-reference.com/players/a/andercl01.html
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",https://www.basketball-reference.com/players/a/anderda01.html
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",https://www.basketball-reference.com/players/a/anderda02.html
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",https://www.basketball-reference.com/players/a/anderde01.html
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960",https://www.basketball-reference.com/players/a/anderdw01.html
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",https://www.basketball-reference.com/players/a/anderer01.html
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",https://www.basketball-reference.com/players/a/andergr01.html
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",https://www.basketball-reference.com/players/a/anderjj01.html
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",https://www.basketball-reference.com/players/a/anderja01.html
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",https://www.basketball-reference.com/players/a/anderje01.html
Justin Anderson,2016,2022,G,6-6,230,"November 19, 1993",https://www.basketball-reference.com/players/a/anderju01.html
Kenny Anderson,1992,2005,G,6-1,168,"October 9, 1970",https://www.basketball-reference.com/players/a/anderke01.html
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",https://www.basketball-reference.com/players/a/anderki01.html
Kyle Anderson,2015,2024,F-G,6-9,230,"September 20, 1993",https://www.basketball-reference.com/players/a/anderky01.html
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",https://www.basketball-reference.com/players/a/andermi01.html
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",https://www.basketball-reference.com/players/a/anderni01.html
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",https://www.basketball-reference.com/players/a/anderri01.html
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",https://www.basketball-reference.com/players/a/anderro01.html
Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",https://www.basketball-reference.com/players/a/anderry01.html
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",https://www.basketball-reference.com/players/a/andersh01.html
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",https://www.basketball-reference.com/players/a/anderwi01.html
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",https://www.basketball-reference.com/players/a/anderwa01.html
Martynas Andriuškevičius,2006,2006,C,7-2,240,"March 12, 1986",https://www.basketball-reference.com/players/a/andrima01.html
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",https://www.basketball-reference.com/players/a/anieldo01.html
Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",https://www.basketball-reference.com/players/a/anigbik01.html
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",https://www.basketball-reference.com/players/a/anslemi01.html
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",https://www.basketball-reference.com/players/a/anstech01.html
Giannis Antetokounmpo,2014,2024,F-G,6-11,242,"December 6, 1994",https://www.basketball-reference.com/players/a/antetgi01.html
Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",https://www.basketball-reference.com/players/a/antetko01.html
Thanasis Antetokounmpo,2016,2024,F,6-7,219,"July 18, 1992",https://www.basketball-reference.com/players/a/antetth01.html
Carmelo Anthony,2004,2022,F,6-7,238,"May 29, 1984",https://www.basketball-reference.com/players/a/anthoca01.html
Cole Anthony,2021,2024,G,6-2,185,"May 15, 2000",https://www.basketball-reference.com/players/a/anthoco01.html
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967",https://www.basketball-reference.com/players/a/anthogr01.html
Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",https://www.basketball-reference.com/players/a/anthojo01.html
Pero Antić,2014,2015,C-F,6-11,260,"July 29, 1982",https://www.basketball-reference.com/players/a/anticpe01.html
OG Anunoby,2018,2024,F,6-7,232,"July 17, 1997",https://www.basketball-reference.com/players/a/anunoog01.html
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",https://www.basketball-reference.com/players/a/applike01.html
Rafael Araújo,2005,2007,C,6-11,280,"August 12, 1980",https://www.basketball-reference.com/players/a/araujra01.html
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",https://www.basketball-reference.com/players/a/arcenst01.html
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",https://www.basketball-reference.com/players/a/archiro01.html
Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948",https://www.basketball-reference.com/players/a/architi01.html
Ryan Arcidiacono,2018,2024,G,6-3,195,"March 26, 1994",https://www.basketball-reference.com/players/a/arcidry01.html
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",https://www.basketball-reference.com/players/a/ardji01.html
Gilbert Arenas,2002,2012,G,6-4,191,"January 6, 1982",https://www.basketball-reference.com/players/a/arenagi01.html
Trevor Ariza,2005,2022,F,6-8,215,"June 30, 1985",https://www.basketball-reference.com/players/a/arizatr01.html
Paul Arizin,1951,1962,F-G,6-4,190,"April 9, 1928",https://www.basketball-reference.com/players/a/arizipa01.html
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",https://www.basketball-reference.com/players/a/arlaujo01.html
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",https://www.basketball-reference.com/players/a/armstbj01.html
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",https://www.basketball-reference.com/players/a/armstbo01.html
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",https://www.basketball-reference.com/players/a/armstbr01.html
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",https://www.basketball-reference.com/players/a/armstcu01.html
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",https://www.basketball-reference.com/players/a/armstda01.html
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",https://www.basketball-reference.com/players/a/armsthi01.html
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",https://www.basketball-reference.com/players/a/armstta01.html
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",https://www.basketball-reference.com/players/a/arnelje01.html
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",https://www.basketball-reference.com/players/a/arnetja01.html
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",https://www.basketball-reference.com/players/a/arnzebo01.html
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",https://www.basketball-reference.com/players/a/arroyca01.html
Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",https://www.basketball-reference.com/players/a/arthuda01.html
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",https://www.basketball-reference.com/players/a/arthujo01.html
Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",https://www.basketball-reference.com/players/a/artisja01.html
Ömer Aşık,2011,2018,C,7-0,255,"July 4, 1986",https://www.basketball-reference.com/players/a/asikom01.html
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",https://www.basketball-reference.com/players/a/askewvi01.html
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",https://www.basketball-reference.com/players/a/askinke01.html
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",https://www.basketball-reference.com/players/a/asmondo01.html
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",https://www.basketball-reference.com/players/a/athadi01.html
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",https://www.basketball-reference.com/players/a/atkinch01.html
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",https://www.basketball-reference.com/players/a/attleal01.html
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",https://www.basketball-reference.com/players/a/aubucch01.html
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",https://www.basketball-reference.com/players/a/augmost01.html
D.J. Augustin,2009,2022,G,5-11,183,"November 10, 1987",https://www.basketball-reference.com/players/a/augusdj01.html
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",https://www.basketball-reference.com/players/a/augusja01.html
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",https://www.basketball-reference.com/players/a/austiis01.html
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",https://www.basketball-reference.com/players/a/austijo01.html
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",https://www.basketball-reference.com/players/a/austike01.html
Deni Avdija,2021,2024,G-F,6-9,210,"January 3, 2001",https://www.basketball-reference.com/players/a/avdijde01.html
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",https://www.basketball-reference.com/players/a/aventan01.html
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",https://www.basketball-reference.com/players/a/averibi01.html
William Avery,2000,2002,G,6-2,197,"August 8, 1979",https://www.basketball-reference.com/players/a/averywi01.html
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",https://www.basketball-reference.com/players/a/awtrede01.html
Joel Ayayi,2022,2022,G,6-5,180,"March 5, 2000",https://www.basketball-reference.com/players/a/ayayijo01.html
Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",https://www.basketball-reference.com/players/a/ayongu01.html
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",https://www.basketball-reference.com/players/p/pendeje02.html
Deandre Ayton,2019,2024,C,7-0,250,"July 23, 1998",https://www.basketball-reference.com/players/a/aytonde01.html
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",https://www.basketball-reference.com/players/a/azubuke01.html
Udoka Azubuike,2021,2024,C,6-10,280,"September 17, 1999",https://www.basketball-reference.com/players/a/azubuud01.html
Chris Babb,2014,2014,G,6-5,225,"February 14, 1990",https://www.basketball-reference.com/players/b/babbch01.html
Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989",https://www.basketball-reference.com/players/b/babbilu01.html
Miloš Babić,1991,1992,C-F,7-0,240,"November 23, 1968",https://www.basketball-reference.com/players/b/babicmi01.html
Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",https://www.basketball-reference.com/players/b/bachjo01.html
Dwayne Bacon,2018,2021,G,6-6,221,"August 30, 1995",https://www.basketball-reference.com/players/b/bacondw01.html
Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",https://www.basketball-reference.com/players/b/baconhe01.html
Ibou Badji,2024,2024,C,7-1,240,"October 13, 2002",https://www.basketball-reference.com/players/b/badjiib01.html
Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",https://www.basketball-reference.com/players/b/baechji01.html
Dalibor Bagarić,2001,2003,C,7-1,255,"February 7, 1980",https://www.basketball-reference.com/players/b/bagarda01.html
John Bagley,1983,1994,G,6-0,185,"April 23, 1960",https://www.basketball-reference.com/players/b/baglejo01.html
Marvin Bagley III,2019,2024,F-C,6-10,235,"March 14, 1999",https://www.basketball-reference.com/players/b/baglema01.html
Amari Bailey,2024,2024,G,6-5,185,"February 17, 2004",https://www.basketball-reference.com/players/b/baileam01.html
Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",https://www.basketball-reference.com/players/b/baileca01.html
Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",https://www.basketball-reference.com/players/b/bailegu01.html
James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",https://www.basketball-reference.com/players/b/baileja01.html
Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",https://www.basketball-reference.com/players/b/baileth01.html
Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975",https://www.basketball-reference.com/players/b/baileto01.html
Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",https://www.basketball-reference.com/players/b/bairsca01.html
Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",https://www.basketball-reference.com/players/b/bakerji01.html
Mark Baker,1999,1999,G,6-1,175,"November 11, 1969",https://www.basketball-reference.com/players/b/bakerla01.html
Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",https://www.basketball-reference.com/players/b/bakerma01.html
Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",https://www.basketball-reference.com/players/b/bakerno01.html
Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",https://www.basketball-reference.com/players/b/bakerro01.html
Vin Baker,1994,2006,F-C,6-11,232,"November 23, 1971",https://www.basketball-reference.com/players/b/bakervi01.html
Patrick Baldwin Jr.,2023,2024,G-F,6-9,220,"November 18, 2002",https://www.basketball-reference.com/players/b/baldwpa01.html
Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",https://www.basketball-reference.com/players/b/baldwwa01.html
Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",https://www.basketball-reference.com/players/b/balkmre01.html
Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",https://www.basketball-reference.com/players/b/ballce01.html
LaMelo Ball,2021,2024,G,6-7,180,"August 22, 2001",https://www.basketball-reference.com/players/b/ballla01.html
Lonzo Ball,2018,2022,G,6-6,190,"October 27, 1997",https://www.basketball-reference.com/players/b/balllo01.html
Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",https://www.basketball-reference.com/players/b/ballagr01.html
Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",https://www.basketball-reference.com/players/b/baltihe01.html
Mo Bamba,2019,2024,C,7-0,231,"May 12, 1998",https://www.basketball-reference.com/players/b/bambamo01.html
Paolo Banchero,2023,2024,F,6-10,250,"November 12, 2002",https://www.basketball-reference.com/players/b/banchpa01.html
Desmond Bane,2021,2024,G,6-5,215,"June 25, 1998",https://www.basketball-reference.com/players/b/banede01.html
Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",https://www.basketball-reference.com/players/b/banksge01.html
Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981",https://www.basketball-reference.com/players/b/banksma01.html
Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",https://www.basketball-reference.com/players/b/bankswa01.html
Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960",https://www.basketball-reference.com/players/b/bannike01.html
Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",https://www.basketball-reference.com/players/b/bantomi01.html
Dalano Banton,2022,2024,G-F,6-9,204,"November 7, 1999",https://www.basketball-reference.com/players/b/bantoda01.html
Cat Barber,2022,2022,G,6-2,190,"July 25, 1994",https://www.basketball-reference.com/players/b/barbeca01.html
John Barber,1957,1957,F,6-6,210,"June 27, 1927",https://www.basketball-reference.com/players/b/barbejo01.html
Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",https://www.basketball-reference.com/players/b/barbole01.html
Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",https://www.basketball-reference.com/players/b/bardost01.html
J.J. Barea,2007,2020,G,5-10,180,"June 26, 1984",https://www.basketball-reference.com/players/b/bareajo01.html
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",https://www.basketball-reference.com/players/b/bargnan01.html
Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",https://www.basketball-reference.com/players/b/barkecl01.html
Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",https://www.basketball-reference.com/players/b/barketo01.html
Charles Barkley,1985,2000,F,6-6,252,"February 20, 1963",https://www.basketball-reference.com/players/b/barklch01.html
Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",https://www.basketball-reference.com/players/b/barkler01.html
Don Barksdale,1952,1955,F-C,6-6,200,"March 31, 1923",https://www.basketball-reference.com/players/b/barksdo01.html
Dominick Barlow,2023,2024,F,6-9,221,"May 26, 2003",https://www.basketball-reference.com/players/b/barlodo01.html
Harrison Barnes,2013,2024,F,6-8,225,"May 30, 1992",https://www.basketball-reference.com/players/b/barneha02.html
Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",https://www.basketball-reference.com/players/b/barneha01.html
Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",https://www.basketball-reference.com/players/b/barneji01.html
Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",https://www.basketball-reference.com/players/b/barnema01.html
Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980",https://www.basketball-reference.com/players/b/barnema02.html
Scottie Barnes,2022,2024,G-F,6-7,227,"August 1, 2001",https://www.basketball-reference.com/players/b/barnesc01.html
Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",https://www.basketball-reference.com/players/b/barnedi01.html
Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",https://www.basketball-reference.com/players/b/barneji02.html
Nate Barnett,1976,1976,G,6-3,175,"January 29, 1953",https://www.basketball-reference.com/players/b/barnena01.html
John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",https://www.basketball-reference.com/players/b/barnhjo01.html
Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",https://www.basketball-reference.com/players/b/barnhno01.html
Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",https://www.basketball-reference.com/players/b/barnhle01.html
John Barr,1947,1947,F,6-3,205,"August 18, 1918",https://www.basketball-reference.com/players/b/barrjo01.html
Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",https://www.basketball-reference.com/players/b/barrmi01.html
Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",https://www.basketball-reference.com/players/b/barrmo01.html
